,ID,AddressInfo_Postcode,Connections_0_LevelID,Connections_0_PowerKW,Connections_0_Quantity,geometry,betweenness_centrality,closeness_centrality,degree_centrality
506,139861,91030,3,40.0,1.0,POINT (-13152575.72577156 4044483.710840131),0.04349203066463264,1.9035931117057033e-05,0.0019880715705765406
507,121040,90502,2,3.0,2.0,POINT (-13167633.67952023 4009226.329360007),0.048006331881937314,1.9038478315060587e-05,0.010685884691848906
508,122026,90043,2,3.0,1.0,POINT (-13172546.92109368 4025210.720007166),0.009510980352041369,1.930056366976871e-05,0.0019880715705765406
509,70225,90043,2,3.0,1.0,POINT (-13172546.92109368 4025210.720007166),0.009510980352041369,1.930056366976871e-05,0.0019880715705765406
510,158796,90042,2,3.7,1.0,POINT (-13157644.9927433 4043701.714965859),0.0034234686338839946,1.7110436910082587e-05,0.0004970178926441351
511,158752,90057,2,3.7,1.0,POINT (-13166865.99804782 4037901.448997162),0.013470506812468466,2.0551818734136033e-05,0.0019880715705765406
512,139531,90303,2,3.7,1.0,POINT (-13172672.65645853 4019571.172855549),0.00800368062566683,1.8838440417894237e-05,0.0007455268389662028
513,139461,90247,2,3.7,1.0,POINT (-13170900.472429 4013574.593885303),0.007758630913994038,1.8789085213597672e-05,0.0014910536779324055
514,121069,90247,2,3.7,10.0,POINT (-13170187.35977098 4012118.798781815),0.017529856901346088,1.8863626961792997e-05,0.0019880715705765406
515,139418,92833,3,40.0,1.0,POINT (-13132909.13397209 4009940.21224256),0.2286048807824196,2.026086164397409e-05,0.003479125248508946
516,139777,91706,2,3.7,10.0,POINT (-13134191.80167281 4037600.685390191),0.008067429378489194,1.5369591009197502e-05,0.0004970178926441351
517,120947,90806,2,3.0,2.0,POINT (-13154965.16524559 4001048.932809862),0.002026555556049732,1.7689931934394343e-05,0.0014910536779324055
518,81748,90010,2,8.0,2.0,POINT (-13167996.70351166 4037170.599198822),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
